Stock,Date
한올바이오파마,2001-10-16
이엔에프테크놀로지,2010-09-02
에스티큐브,2009-03-20
에스티큐브,2016-06-14
에스티큐브,2023-04-03
수성웹툰,2020-10-21
세아제강지주,2000-09-21
에스알바이오텍,2023-01-25
에스알바이오텍,2023-06-19
에스알바이오텍,2023-09-01
프로이천,2023-05-19
넥스턴바이오,2021-09-08
액토즈소프트,2023-01-05
텔레칩스,2024-02-16
케스피온,2016-07-14
제이씨현시스템,2016-01-06
아센디오,2006-04-07
아센디오,2008-01-16
아센디오,2014-11-18
포메탈,2020-07-07
포메탈,2021-06-03
인스코비,2006-01-27
인스코비,2013-07-05
제넨바이오,2012-07-17
파라다이스,2017-04-03
우리엔터프라이즈,2000-05-08
랩지노믹스,2021-08-25
SNT에너지,2018-06-26
EDGC,2022-03-25
큐리언트,2018-01-02
큐리언트,2024-03-04
엔에스컴퍼니,2021-09-09
한국주강,2001-08-09
알톤,2014-07-04
오리엔탈정공,2003-07-02
오리엔탈정공,2009-03-20
한국팩키지,2000-04-20
HD현대인프라코어,2001-08-06
풍강,2019-11-05
풍강,2020-07-13
코스맥스비티아이,2011-09-22
혜인,2013-08-05
TS인베스트먼트,2024-02-16
에이직랜드,2024-02-16
네오팜,2012-11-05
바이오스마트,2010-11-15
플루토스,2004-08-13
플루토스,2007-07-25
플루토스,2008-01-23
플루토스,2008-03-05
플루토스,2010-10-12
플루토스,2016-09-08
플루토스,2019-04-04
나이벡,2020-03-06
일동홀딩스,2001-10-15
일동홀딩스,2015-04-03
바이오로그디바이스,2016-03-11
바이오로그디바이스,2023-08-22
대동스틸,2008-07-22
대동스틸,2012-04-27
대동스틸,2013-08-09
웰바이오텍,2007-05-18
웰바이오텍,2016-04-22
케이씨피드,2016-06-15
케이씨피드,2019-06-07
신세계건설,2014-11-12
솔본,2005-11-24
솔본,2010-04-26
솔본,2015-02-27
솔본,2023-01-06
대신정보통신,2012-05-08
대신정보통신,2017-02-03
대신정보통신,2022-10-11
티웨이홀딩스,2011-06-02
원익QnC,2013-10-08
원익QnC,2021-02-17
에스에프에이,2005-06-24
에스에프에이,2009-02-05
로지시스,2018-09-04
케어랩스,2020-06-19
클래시스,2023-08-07
일양약품,2009-05-19
한화솔루션,2003-01-13
화승코퍼레이션,2000-08-14
대원전선,2000-08-22
에스에이티이엔지,2023-05-16
상지건설,2007-07-31
상지건설,2008-03-24
상지건설,2008-06-12
서산,2005-11-25
서산,2013-04-24
에스앤에스텍,2012-10-24
에스앤에스텍,2023-07-17
켐트로닉스,2022-02-08
제룡전기,2000-05-04
제룡전기,2001-04-06
오르비텍,2011-12-09
서연,2005-04-08
자이글,2023-05-22
드림시큐리티,2019-10-25
드림시큐리티,2020-11-23
에스메디,2018-02-22
한화엔진,2022-02-24
메가엠디,2020-03-31
GS글로벌,2020-07-17
SGA솔루션즈,2023-04-04
코오롱,2012-08-10
한국선재,2008-04-16
한국선재,2016-02-19
한국선재,2016-09-22
동양이엔피,2015-11-18
성문전자,2001-05-28
성문전자,2002-11-15
성문전자,2009-03-19
성문전자,2013-07-12
성문전자,2015-11-16
성문전자,2021-11-22
KEC,2020-06-22
티씨케이,2008-02-18
코리안리,2001-05-04
프럼파스트,2005-07-11
우리산업홀딩스,2004-10-21
우리산업홀딩스,2009-10-23
예스티,2024-01-24
아톤,2024-01-24
크라운해태홀딩스,2002-07-19
한국캐피탈,2007-09-05
한국캐피탈,2011-04-11
상상인증권,2012-09-18
상상인증권,2015-01-30
BF랩스,2020-10-29
아즈텍WB,2014-10-21
아즈텍WB,2016-07-21
갤럭시아에스엠,2005-12-12
갤럭시아에스엠,2012-06-26
진흥기업,2003-02-25
케이씨티,2014-01-23
서울리거,2023-07-21
케이엠더블유,2014-04-07
금강철강,2005-04-25
금강철강,2016-05-17
서한,2001-07-12
서한,2007-07-26
삼진엘앤디,2010-03-31
삼진엘앤디,2010-07-19
삼진엘앤디,2018-05-29
한국정보공학,2010-12-24
한국정보공학,2020-07-01
현대에버다임,2008-05-09
이수화학,2000-08-17
이수화학,2020-07-20
동일기연,2005-11-16
동일기연,2007-02-07
동일기연,2009-05-20
동운아나텍,2020-06-22
KD,2015-09-16
KB오토시스,2001-04-26
KB오토시스,2015-09-17
KIB플러그에너지,2007-09-03
쎄트렉아이,2017-02-22
쎄트렉아이,2021-03-30
신원,2000-08-17
신원,2006-02-21
신원,2014-08-25
제노레이,2020-06-26
이오테크닉스,2002-02-25
이오테크닉스,2014-12-22
세원물산,2006-05-25
에이티세미콘,2022-05-03
다이나믹디자인,2018-01-03
특수건설,2000-08-23
특수건설,2001-04-16
특수건설,2001-07-19
특수건설,2007-11-23
특수건설,2014-03-19
특수건설,2019-11-05
한국경제TV,2014-07-04
롯데칠성음료,2000-08-16
이구산업,2000-08-16
대주전자재료,2011-03-24
동성제약,2015-07-02
비케이홀딩스,2006-11-06
대한항공,2015-01-30
신흥에스이씨,2020-09-15
우수AMS,2012-05-17
DSC인베스트먼트,2021-01-27
디아이,2013-03-08
메디프론,2004-06-25
코엔텍,2005-08-11
코엔텍,2009-02-04
코엔텍,2009-10-27
한라IMS,2012-04-04
한라IMS,2016-09-26
DN오토모티브,2000-08-17
수프로,2018-09-04
수프로,2021-05-07
세방전지,2003-08-19
세방전지,2013-07-01
평화산업,2018-03-22
CS홀딩스,2001-08-10
세토피아,2016-11-28
이앤에치,2020-07-31
티케이지휴켐스,2012-11-09
진양화학,2012-01-30
대성파인텍,2015-06-23
에쎈테크,2006-01-11
에쎈테크,2006-02-09
에쎈테크,2007-03-02
도부마스크,2019-02-15
도부마스크,2019-11-15
도부마스크,2023-02-10
삼보산업,2010-09-17
한국전자인증,2017-02-22
한국전자인증,2018-03-12
유신,2007-01-12
유신,2023-08-24
애머릿지,2015-05-26
티사이언티픽,2005-08-01
에이팩트,2021-08-27
우원개발,2016-08-12
SUN&L,2000-06-01
AP헬스케어,2015-01-22
AP헬스케어,2017-01-02
대우부품,2000-08-16
대우부품,2005-11-15
대우부품,2006-06-15
CJ ENM,2011-09-08
에스넷,2023-01-06
포바이포,2023-01-18
세진티에스,2007-04-16
케이비아이동국실업,2000-08-16
주성엔지니어링,2002-01-02
주성엔지니어링,2009-03-25
KB금융,2023-01-06
위닉스,2003-10-20
현대건설,2009-09-15
현대건설,2018-03-12
롯데정밀화학,2010-08-20
롯데정밀화학,2020-07-07
더테크놀로지,2005-01-19
더테크놀로지,2009-01-19
더테크놀로지,2013-04-01
부국철강,2021-09-03
티비에이치글로벌,2011-03-29
티비에이치글로벌,2015-04-03
티비에이치글로벌,2019-09-30
알티캐스트,2022-10-07
한국정보인증,2018-03-09
판타지오,2006-06-13
오공,2006-10-16
오공,2014-05-14
