Stock,Buy Date,Buy Price,Sell Price,Return Rate
드림씨아이에스,2023-08-03,3361,3467,3.153823266884856
디젠스,2015-12-18,1464,1361,-7.035519125683059
현우산업,2009-06-26,4489,5399,20.271775451102695
영보화학,2002-01-04,1829,1804,-1.366867140513942
데브시스터즈,2021-05-31,114500,112600,-1.6593886462882095
데브시스터즈,2021-11-12,152000,148700,-2.1710526315789473
디앤씨미디어,2018-01-08,9500,9090,-4.315789473684211
이니텍,2005-05-23,2320,2335,0.646551724137931
이니텍,2011-08-18,2950,2615,-11.35593220338983
아이쓰리시스템,2022-02-10,19250,18650,-3.116883116883117
질경이,2018-08-27,12500,11400,-8.799999999999999
메디콕스,2003-01-14,1168480,1178971,0.8978330822949472
메디콕스,2007-03-09,503433,428111,-14.961673152137426
메디콕스,2016-01-21,14276,13090,-8.30764920145699
까뮤이앤씨,2009-06-30,859,786,-8.498253783469151
까뮤이앤씨,2013-03-12,247,242,-2.0242914979757085
광림,2021-01-15,1840,1765,-4.076086956521739
삼표시멘트,2003-05-28,46061,51294,11.361021254423482
삼표시멘트,2006-01-20,30952,27415,-11.427371413802016
탑코미디어,2016-09-23,4135,4215,1.9347037484885126
위메이드,2021-08-17,38140,32027,-16.027792343995806
대창스틸,2021-02-17,2630,2615,-0.5703422053231939
제이엠아이,2021-05-13,1380,1360,-1.4492753623188406
이랜시스,2022-03-21,3700,3850,4.054054054054054
컴투스,2014-02-11,22102,22369,1.208035471902995
웨이버스,2023-08-25,1864,1901,1.984978540772532
디이엔티,2022-06-02,7577,7496,-1.0690246799524878
코닉오토메이션,2022-11-01,5060,4810,-4.940711462450593
서부T&D,2001-01-09,507,475,-6.31163708086785
서부T&D,2001-12-17,448,434,-3.125
서부T&D,2006-01-06,3650,3296,-9.698630136986301
서부T&D,2006-02-20,3339,3503,4.911650194669063
한스바이오메드,2015-03-16,19350,19250,-0.516795865633075
한진중공업홀딩스,2020-11-12,4250,4220,-0.7058823529411765
삼영엠텍,2015-03-19,3460,3560,2.8901734104046244
삼영엠텍,2022-07-08,5450,5260,-3.486238532110092
삼현철강,2005-01-20,1190,1145,-3.7815126050420167
삼현철강,2009-03-24,3720,3720,0.0
